Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy,Label,File,Label_ID
19.47,30.120908020841604,907.2691,35.86572179672395,122.0,0.0,122.0,5.0,4536386.0,Minor_Fault,Minor_fault_013_window_005.csv,1
18.45,29.89159580885571,893.5075,35.12705510002226,119.0,0.0,119.0,5.0,4473262.0,Minor_Fault,Minor_fault_013_window_006.csv,1
21.16,32.56554006922041,1060.5144000000005,38.83632320392856,119.0,0.0,119.0,5.5,5307179.999999999,Minor_Fault,Minor_fault_013_window_007.csv,1
22.27,31.963058364305507,1021.6371000000004,38.95625752045491,115.0,0.0,115.0,5.0,5110850.0,Minor_Fault,Minor_fault_013_window_008.csv,1
23.09,31.543333685582443,994.9819,39.09130338067535,99.0,0.0,99.0,5.0,4977429.999999999,Minor_Fault,Minor_fault_013_window_009.csv,1
23.18,34.42800604159352,1185.2876,41.50421665325103,124.0,0.0,124.0,5.0,5931240.0,Minor_Fault,Minor_fault_013_window_010.csv,1
23.06,35.588992680321816,1266.5764,42.40683907107437,124.0,0.0,124.0,5.0,6340081.999999998,Minor_Fault,Minor_fault_013_window_011.csv,1
21.92,31.5108489254098,992.9335999999998,38.38515337992021,113.0,0.0,113.0,5.0,4966716.000000001,Minor_Fault,Minor_fault_013_window_012.csv,1
21.76,29.655056904346008,879.4223999999999,36.7820608449282,99.0,0.0,99.0,5.0,4398169.999999999,Minor_Fault,Minor_fault_013_window_013.csv,1
9.13,15.450343038262934,238.71309999999997,17.946308812677888,71.0,0.0,71.0,6.0,1193878.0,Minor_Fault,Minor_fault_014_window_001.csv,1
9.74,15.346413261736435,235.5124,18.176358271116907,58.0,0.0,58.0,6.0,1177580.0000000002,Minor_Fault,Minor_fault_014_window_002.csv,1
11.08,16.265103750053363,264.5536,19.680447149391703,58.0,0.0,58.0,5.5,1328175.9999999998,Minor_Fault,Minor_fault_014_window_003.csv,1
10.62,15.925313183733628,253.6156000000001,19.14157778240864,64.0,0.0,64.0,5.0,1271776.0000000002,Minor_Fault,Minor_fault_014_window_004.csv,1
10.96,18.161453686310463,329.83839999999987,21.2122606056026,80.0,0.0,80.0,5.0,1649289.9999999998,Minor_Fault,Minor_fault_014_window_005.csv,1
18.93,27.166617382368383,738.0251,33.11147837231071,105.0,0.0,105.0,5.5,3691326.000000001,Minor_Fault,Minor_fault_014_window_006.csv,1
21.01,28.96911976570914,839.2099000000001,35.78589107455618,105.0,0.0,105.0,5.5,4197454.0,Minor_Fault,Minor_fault_014_window_007.csv,1
