Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy
69.72,203.05413465379127,41230.9816,214.69014881917616,931.0,0.0,931.0,6.0,206788846.0
0.91,1.4635231463834113,2.1419,1.7233687939614086,8.0,0.0,8.0,23.0,10709.999999999998
76.32,135.04672376625803,18237.617600000005,155.12046931336948,588.0,0.0,588.0,6.0,91385279.99999996
93.27,236.2791931169564,55827.85709999998,254.0219478706516,894.0,0.0,894.0,6.0,279790226.0
22.57,35.0143556273709,1226.0051,41.658252483751646,116.0,0.0,116.0,5.5,6131886.000000002
19.6,28.55555987894477,815.4200000000002,34.63495344301764,102.0,0.0,102.0,5.5,4078158.0
97.9,256.24478531279425,65661.39000000001,274.30967901260794,990.0,0.0,990.0,10.5,328391000.00000006
22.71,33.86068369067582,1146.5458999999996,40.77119080919761,113.0,0.0,113.0,5.0,5732741.999999999
65.9,111.50044842959154,12432.350000000002,129.51895614156254,458.0,0.0,458.0,5.0,62246622.0
0.8,1.131370849898476,1.28,1.3856406460551018,5.0,0.0,5.0,1.0,6432.0
108.04,244.8806207113989,59966.51840000001,267.6549270983069,827.0,0.0,827.0,6.0,309849880.0
90.89,254.63895597492547,64840.99790000003,270.37379680730896,982.0,0.0,982.0,5.0,326522694.00000006
93.99,225.5760401727098,50884.54989999998,244.37403708250187,951.0,0.0,951.0,12.5,259349410.0
1.12,1.7508854902591429,3.0655999999999994,2.078460969082653,11.0,0.0,11.0,15.5,15616.0
0.61,0.9684523736353792,0.9379000000000002,1.1445523142259597,4.0,0.0,4.0,12.0,4730.0
34.37,147.57199293903977,21777.4931,151.52158262109066,773.0,0.0,773.0,9.5,108929226.0
63.21,201.83876213453155,40738.8859,211.5050590411492,935.0,0.0,935.0,6.5,205748794.0
89.22,246.89728957605016,60958.27159999997,262.5232942045334,978.0,0.0,978.0,6.0,307916357.99999994
8.42,18.261533341973227,333.48359999999985,20.10920187376913,84.0,0.0,84.0,6.0,1667706.0000000007
93.6,154.60155238547895,23901.64,180.72797237837867,598.0,0.0,598.0,5.5,119524042.0
